Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  Disc_Loss                Disc_Acc_Expert          Disc_Acc_Agent           Disc_Stepsize            Disc_Steps               Disc_Prob                Disc_Abs_Logit           Disc_Reward_Mean         Disc_Reward_Std          Grad_Penalty             
0                        0.008562894794676038     8205                     1.5041359410062367       2.105448389157007        0.06466428065657011      0.8771776873588581       1.5871959169872876       1.4535635994778529       0.999983576              0.05                     5.581958484649658        2e-05                    0.4298050264517466       4e-06                    0.14713541666666666      2.8333697                1.9653078                81.046142578125          0.5693655303030303       0.584280303030303        1e-05                    33                       0.4327636487556226       2.6584722345525567       0.0                      0.0                      7.10456015846946         
200                      0.8430071155892478       829053                   0.8361644930364913       5.5476265453431735       0.13304749328740667      0.8066180652164944       1.6481355249862937       1.435958495557897        0.9967001719999999       0.049999999999999996     14.459055304527283       2e-05                    0.42656268551945686      4e-06                    0.187255859375           -0.028612627             5.4063435                10.810120582580566       0.9796142578125          0.8948974609375          1e-05                    6624                     0.32797008752822876      0.8505634069442749       0.6492946147918701       0.6295856237411499       0.7239099144935608       
400                      1.6736747044987148       1649718                  0.00035514728984169865   6.824090796300083        0.1328947699186031       0.8058904166085255       1.6495897151937067       1.4344385628820175       0.993417516              0.05                     2.4865506291389465       2e-05                    0.43259101174771786      4e-06                    0.155517578125           -0.039408524             2.2428288                7.125461462772254        0.994436553030303        0.9402225378787878       1e-05                    13211                    0.31707341743238043      0.8480855190392697       0.5800029635429382       0.5523382425308228       0.41654708168723364      
600                      2.507595106297069        2470361                  9.166261376160778e-20    6.384262419155279        0.1328947699186031       0.8058904166085255       1.6495897151937067       1.4344385628820175       0.990134964              0.05                     2.2460746616125107       2e-05                    0.43217891082167625      4e-06                    0.2197265625             -0.043081213             2.1227813                5.3506386496803975       0.9934895833333334       0.9691051136363636       1e-05                    19795                    0.31804870836662524      0.8110498948530718       0.5535082817077637       0.4938526451587677       0.2801661924882369       
800                      3.337127689189381        3291083                  0.02187212896136814      6.6041339938646555       0.1328947699186031       0.8058904166085255       1.6495897151937067       1.4344385628820175       0.986852104              0.05                     2.85813407599926         2e-05                    0.4305404778569937       4e-06                    0.1787109375             -0.12696931              2.4081101                4.350271513967803        0.9946732954545454       0.9730113636363636       1e-05                    26389                    0.323389804724491        0.7767514315518466       0.5593650937080383       0.46728959679603577      0.21084915507923474      
1000                     4.16071872274081         4111855                  5.129370690470112        11.233272205213881       0.1328947699186031       0.8058904166085255       1.6495897151937067       1.4344385628820175       0.983569004              0.05                     2.094901993870735        2e-05                    0.4290453437715769       4e-06                    0.20751953125            0.10153097               2.046781                 3.6968790690104165       0.9936079545454546       0.9812973484848485       1e-05                    32979                    0.3264799118041992       0.7557609442508582       0.5866233110427856       0.4608832597732544       0.16998421062122693      
1200                     4.985145349767473        4932769                  2.780286281537118e-05    5.951963928835864        0.1328947699186031       0.8058904166085255       1.6495897151937067       1.4344385628820175       0.980285308              0.05                     1.9478400275111198       2e-05                    0.42553395219147205      4e-06                    0.175537109375           0.0009821317             1.9839981                3.205721855163574        0.9947509765625          0.980712890625           1e-05                    39569                    0.32677963376045227      0.7514728307723999       0.5663875341415405       0.4401714503765106       0.14190039038658142      
1400                     5.814093260367711        5753720                  0.03603044924933953      5.550685955339128        0.1328947699186031       0.8058904166085255       1.6495897151937067       1.4344385628820175       0.9770015400000001       0.05000000000000001      2.514945536851883        2e-05                    0.43089000321924686      4e-06                    0.23291015625            0.11859468               2.2549732                2.83504902232777         0.9965672348484849       0.9875710227272727       1e-05                    46165                    0.3303873466722893       0.7305860808401397       0.581777811050415        0.4371579885482788       0.12266066580107718      
1600                     6.6450100826554825       6574715                  0.23722029484241874      6.174039459921992        0.1328947699186031       0.8058904166085255       1.6495897151937067       1.4344385628820175       0.973717572              0.05                     2.566584199666977        2e-05                    0.42678876779973507      4e-06                    0.285888671875           0.20536493               2.283686                 2.5701994462446733       0.9964488636363636       0.9807054924242424       1e-05                    52757                    0.3349955876668294       0.7103432742032137       0.5930805802345276       0.4369245171546936       0.11133071870514841      
1800                     7.477129200763173        7395768                  1.3848213739066395       6.6826348889061835       0.1328947699186031       0.8058904166085255       1.6495897151937067       1.4344385628820175       0.970433316              0.05                     3.144001916050911        2e-05                    0.4298573900014162       4e-06                    0.224609375              -0.24320096              2.520955                 2.2906036376953125       0.9969223484848485       0.9830729166666666       1e-05                    59351                    0.3298165581443093       0.733148228038441        0.5197715163230896       0.43066880106925964      0.09790957335269812      
